ticker,company_name,trade_date,insider_name,insider_role,transaction_type,shares,price,value_usd,size_bucket,ret_10d
RM,Regional Management Corp.,2024-03-11,"BASSWOOD FINANCIAL LONG ONLY FUND, L.P.","Director,TenPercentOwner,Other",P,1882.0,24.59,46278.38,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,"BASSWOOD PARTNERS, L.L.C.","Director,TenPercentOwner,Other",P,1882.0,24.59,46278.38,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,LINDENBAUM BENNETT D,"Director,TenPercentOwner,Other",P,1882.0,24.59,46278.38,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,"BASSWOOD FINANCIAL FUND, L.P.","Director,TenPercentOwner,Other",P,1882.0,24.59,46278.38,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,"BASSWOOD OPPORTUNITY PARTNERS, L.P.","Director,TenPercentOwner,Other",P,1882.0,24.59,46278.38,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,BASSWOOD OPPORTUNITY FUND INC,"Director,TenPercentOwner,Other",P,1882.0,24.59,46278.38,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.","Director,TenPercentOwner,Other",P,3812.0,24.59,93737.08,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,LINDENBAUM MATTHEW A,"Director,TenPercentOwner,Other",P,3812.0,24.59,93737.08,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,"BASSWOOD FINANCIAL LONG ONLY FUND, L.P.","Director,TenPercentOwner,Other",P,3812.0,24.59,93737.08,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,"BASSWOOD PARTNERS, L.L.C.","Director,TenPercentOwner,Other",P,3812.0,24.59,93737.08,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,LINDENBAUM BENNETT D,"Director,TenPercentOwner,Other",P,3812.0,24.59,93737.08,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,"BASSWOOD FINANCIAL FUND, L.P.","Director,TenPercentOwner,Other",P,3812.0,24.59,93737.08,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,"BASSWOOD OPPORTUNITY PARTNERS, L.P.","Director,TenPercentOwner,Other",P,3812.0,24.59,93737.08,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,BASSWOOD OPPORTUNITY FUND INC,"Director,TenPercentOwner,Other",P,3812.0,24.59,93737.08,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-08,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.","Director,TenPercentOwner,Other",P,811.0,23.71,19228.81,normal_buy,0.026559976127947582
RM,Regional Management Corp.,2024-03-08,LINDENBAUM MATTHEW A,"Director,TenPercentOwner,Other",P,811.0,23.71,19228.81,normal_buy,0.026559976127947582
RM,Regional Management Corp.,2024-03-08,"BASSWOOD FINANCIAL LONG ONLY FUND, L.P.","Director,TenPercentOwner,Other",P,811.0,23.71,19228.81,normal_buy,0.026559976127947582
RM,Regional Management Corp.,2024-03-08,"BASSWOOD PARTNERS, L.L.C.","Director,TenPercentOwner,Other",P,811.0,23.71,19228.81,normal_buy,0.026559976127947582
RM,Regional Management Corp.,2024-03-08,LINDENBAUM BENNETT D,"Director,TenPercentOwner,Other",P,811.0,23.71,19228.81,normal_buy,0.026559976127947582
RM,Regional Management Corp.,2024-03-08,"BASSWOOD FINANCIAL FUND, L.P.","Director,TenPercentOwner,Other",P,811.0,23.71,19228.81,normal_buy,0.026559976127947582
RM,Regional Management Corp.,2024-03-08,"BASSWOOD OPPORTUNITY PARTNERS, L.P.","Director,TenPercentOwner,Other",P,811.0,23.71,19228.81,normal_buy,0.026559976127947582
RM,Regional Management Corp.,2024-03-08,BASSWOOD OPPORTUNITY FUND INC,"Director,TenPercentOwner,Other",P,811.0,23.71,19228.81,normal_buy,0.026559976127947582
RM,Regional Management Corp.,2024-03-08,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.","Director,TenPercentOwner,Other",P,1021.0,23.71,24207.91,normal_buy,0.026559976127947582
